1,Pinyin,0,9,yíngjiē lìng yīgè chénxī dài lái quánxīn kōngqì,9
2,Chinese,1,9,迎接另一个晨曦带来全新空气,10
3,Pinyin,0,10,qìxí gǎibiàn qíng wèi bù biàn chá xiāng piāo mǎn qíngyì,9
4,Chinese,1,10,气息改变情味不变茶香飘满情谊,10
5,Pinyin,0,11,wǒjiā dàmén cháng dǎkāi kāifàng huáibào děng nǐ,9
6,Chinese,1,11,我家大门常打开开放怀抱等你,10
7,Pinyin,0,12,yǒngbàoguò jiù yǒule mòqì nǐ huì ài shàng zhèlǐ,9
8,Chinese,1,12,拥抱过就有了默契你会爱上这里,10
9,Pinyin,0,13,bùguǎn yuǎnjìn dōu shì kèrén qǐng bùyòng kèqì,9
10,Chinese,1,13,不管远近都是客人请不用客气,10
11,Pinyin,0,14,xiāngyuē hǎole zài yīqǐ wǒmen huānyíng nǐ,9
12,Chinese,1,14,相约好了再一起我们欢迎你,10
13,Pinyin,0,15,wǒjiā zhòng zhe wànniánqīng kāifàng měi duàn chuánqí,9
14,Chinese,1,15,我家种着万年青开放每段传奇,10
15,Pinyin,0,16,wèi chuántǒng de tǔrǎng bōzhòng wèi nǐ liú xià huíyì,9
16,Chinese,1,16,为传统的土壤播种为你留下回忆,10
17,Pinyin,0,17,mòshēng shúxī dōu shì kèrén qǐng bùyòng jūlǐ,9
18,Chinese,1,17,陌生熟悉都是客人请不用拘礼,10
19,Pinyin,0,18,dì jǐ cì lái méiguānxì yǒu tài duō huàtí,9
20,Chinese,1,18,第几次来没关系有太多话题,10
21,Pinyin,0,19,běijīng huānyíng nǐ wèi nǐ kāitiānpìdì,9
22,Chinese,1,19,北京欢迎你为你开天辟地,10
23,Pinyin,0,20,liúdòng zhōng de mèilì chōngmǎnzhe zhāoqì,9
24,Chinese,1,20,流动中的魅力充满着朝气,10
25,Pinyin,0,21,běijīng huānyíng nǐ zài tàiyáng xià fēnxiǎng hūxī,9
26,Chinese,1,21,北京欢迎你在太阳下分享呼吸,10
27,Pinyin,0,22,zài huáng tǔdì shuāxīn chéngjī,9
28,Chinese,1,22,在黄土地刷新成绩,10
29,Pinyin,0,23,wǒjiā dàmén cháng dǎkāi kāihuái róngnà tiāndì,9
30,Chinese,1,23,我家大门常打开开怀容纳天地,10
31,Pinyin,0,24,suìyuè zhànfàng qīngchūn xiàoróng yíngjiē zhège rìqí,9
32,Chinese,1,24,岁月绽放青春笑容迎接这个日期,10
33,Pinyin,0,25,tiān dàdì dàdū shì péngyǒu qǐng bùyòng kèqì,9
34,Chinese,1,25,天大地大都是朋友请不用客气,10
35,Pinyin,0,26,huàyì shī qíng dài xiào yì zhǐ wèi děngdài nǐ,9
36,Chinese,1,26,画意诗情带笑意只为等待你,10
37,Pinyin,0,27,běijīng huānyíng nǐ xiàng yīnyuè gǎndòng nǐ,9
38,Chinese,1,27,北京欢迎你像音乐感动你,10
39,Pinyin,0,28,ràng wǒmen dōu jiāyóu qù chāoyuè zìjǐ,9
40,Chinese,1,28,让我们都加油去超越自己,10
41,Pinyin,0,29,běijīng huānyíng nǐ yǒu mèngxiǎng shuí dōu liǎobùqǐ,9
42,Chinese,1,29,北京欢迎你有梦想谁都了不起,10
43,Pinyin,0,30,yǒu yǒngqì jiù huì yǒu qíjī,9
44,Chinese,1,30,有勇气就会有奇迹,10
45,Pinyin,0,31,běijīng huānyíng nǐ wèi nǐ kāitiānpìdì,9
46,Chinese,1,31,北京欢迎你为你开天辟地,10
47,Pinyin,0,32,liúdòng zhōng de mèilì chōngmǎnzhe zhāoqì,9
48,Chinese,1,32,流动中的魅力充满着朝气,10
49,Pinyin,0,33,běijīng huānyíng nǐ zài tàiyáng xià fēnxiǎng hūxī,9
50,Chinese,1,33,北京欢迎你在太阳下分享呼吸,10
51,Pinyin,0,34,zài huáng tǔdì shuāxīn chéngjī,9
52,Chinese,1,34,在黄土地刷新成绩,10
53,Pinyin,0,35,běijīng huānyíng nǐ xiàng yīnyuè gǎndòng nǐ,9
54,Chinese,1,35,北京欢迎你像音乐感动你,10
55,Pinyin,0,36,ràng wǒmen dōu jiāyóu qù chāoyuè zìjǐ,9
56,Chinese,1,36,让我们都加油去超越自己,10
57,Pinyin,0,37,běijīng huānyíng nǐ yǒu mèngxiǎng shuí dōu liǎobùqǐ,9
58,Chinese,1,37,北京欢迎你有梦想谁都了不起,10
59,Pinyin,0,38,yǒu yǒngqì jiù huì yǒu qíjī,9
60,Chinese,1,38,有勇气就会有奇迹,10
61,Pinyin,0,39,běijīng huānyíng nǐ ya!,9
62,Chinese,1,39,北京欢迎你呀!,10
